idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
76,203.9,0.258,0.501,42.44,8.48,0.4209,0.1036,0.576,,1
77,11.5,-1.046,0.458,-0.43,7.76,0.1432,0.0947,0.2923,,0
78,152.3,-2.924,0.427,25.25,7.24,0.3024,0.0884,0.4389,,1
79,421.6,-2.533,0.185,34.09,3.13,0.35,0.0382,0.6981,,1
80,468.0,-0.28,0.587,44.6,9.95,0.5496,0.1215,0.1557,,0
81,472.9,-2.703,0.19,14.55,3.23,0.0205,0.0394,0.7087,,1
82,372.5,0.237,0.576,39.91,9.77,0.0554,0.1192,0.1151,,0
83,357.7,0.433,0.588,40.88,9.96,-0.0116,0.1216,0.1339,,0
84,214.8,0.266,0.511,29.48,8.65,0.3894,0.1056,0.5271,,1
85,418.3,-0.113,0.559,38.72,9.48,0.2399,0.1157,0.1195,,0
86,458.3,-2.213,0.212,21.28,3.59,0.1672,0.0438,0.6738,,1
87,54.8,0.039,0.625,15.63,10.6,-0.1499,0.1294,0.1559,,0
88,49.7,-1.036,0.497,23.69,8.42,0.1169,0.1028,0.3267,,0
89,476.5,-2.375,0.362,14.11,6.13,-0.0635,0.0749,0.4321,,1
90,193.0,0.419,0.601,38.04,10.18,0.2478,0.1243,0.3064,,0
91,355.6,-2.665,0.445,39.88,7.55,0.237,0.0921,0.2162,,0
92,399.6,-2.213,0.209,16.41,3.55,0.0722,0.0433,0.6902,,1
93,180.2,0.944,0.837,4.41,14.18,-0.0621,0.1731,0.0838,,0
94,372.0,-3.14,0.463,12.67,7.84,0.431,0.0957,0.1549,,0
95,221.9,-2.709,0.317,17.51,5.37,0.2999,0.0656,0.445,,1
96,383.5,0.217,0.568,42.26,9.62,0.042,0.1175,0.1448,,0
97,502.1,-3.544,0.381,23.5,6.46,-0.1665,0.0789,0.273,,0
98,396.3,-0.205,0.562,43.23,9.52,0.0391,0.1162,0.1647,,0
99,4.1,-1.104,0.482,-4.48,8.17,0.1438,0.0997,0.2327,,0
100,418.0,-2.444,0.318,36.74,5.39,0.2437,0.0658,0.2911,,0
101,489.3,-2.364,0.18,19.15,3.06,0.0284,0.0373,0.7285,,1
102,154.1,-2.787,0.421,22.09,7.13,0.3167,0.087,0.464,,1
103,377.9,0.707,0.635,40.9,10.77,-0.0702,0.1315,0.0397,,0
104,429.3,-0.019,0.546,43.07,9.25,0.2225,0.1129,0.1153,,0
105,51.2,1.136,0.611,20.38,10.36,0.0978,0.1265,0.2917,,0
106,47.9,-0.723,0.479,31.07,8.12,0.1812,0.0991,0.2879,,0
107,492.9,-3.145,0.531,22.72,9.0,0.209,0.1099,0.4019,,1
108,344.6,-2.528,0.246,24.67,4.17,0.3693,0.0509,0.6464,,1
109,377.6,-2.034,0.253,37.44,4.29,0.1695,0.0524,0.5878,,1
110,234.7,-2.714,0.382,20.97,6.47,0.1552,0.0791,0.2859,,0
111,364.8,-2.491,0.233,32.16,3.94,0.2862,0.0482,0.564,,1
112,162.5,-2.814,0.417,11.25,7.06,0.4089,0.0863,0.4693,,1
