idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
77,112.0,0.727,0.961,25.14,18.05,0.179,0.2085,0.1392,,0
78,241.8,-0.732,1.258,71.16,23.62,0.3052,0.2729,0.0608,,0
79,231.2,0.145,1.044,82.08,19.62,0.708,0.2266,0.0459,,0
80,226.3,0.805,0.911,72.46,17.1,0.5419,0.1976,0.0657,,0
81,221.4,-0.096,0.927,58.47,17.41,0.4591,0.2011,0.1004,,0
82,198.5,0.97,1.166,72.87,21.89,0.4765,0.2529,0.0188,,0
83,190.6,0.857,1.115,39.19,20.93,0.2491,0.2418,0.1653,,0
84,181.6,0.908,1.083,44.04,20.35,0.2739,0.235,0.1763,,0
85,172.8,-0.174,0.955,43.76,17.94,0.2823,0.2073,0.0906,,0
86,101.4,0.302,1.157,8.18,21.74,0.0194,0.2511,0.1079,,0
87,94.8,0.519,0.949,8.79,17.82,-0.1933,0.2059,0.1537,,0
88,92.9,-0.552,0.937,12.53,17.59,-0.1152,0.2032,0.1776,,0
89,91.6,2.258,0.835,12.6,15.68,-0.2745,0.1811,0.1144,,0
90,91.6,1.248,0.883,21.08,16.59,-0.1326,0.1916,0.1792,,0
91,92.9,2.6,0.988,-9.28,18.57,-0.1882,0.2145,0.1167,,0
92,95.5,2.291,0.965,10.77,18.13,-0.0639,0.2094,0.0374,,0
93,98.5,0.582,0.955,24.59,17.94,0.0561,0.2073,0.0956,,0
94,101.7,0.215,1.055,33.73,19.81,0.058,0.2288,0.1988,,0
95,236.1,0.121,1.306,55.81,24.53,0.5083,0.2833,0.0507,,0
96,218.8,0.251,1.087,79.04,20.42,0.6886,0.2359,0.2421,,0
97,213.8,1.127,1.12,39.96,21.03,0.2744,0.2429,0.131,,0
98,208.9,0.217,0.902,63.71,16.94,0.4551,0.1957,0.0873,,0
99,94.4,-0.567,0.978,28.55,18.38,0.1775,0.2123,0.1037,,0
100,88.8,0.226,1.043,42.53,19.58,0.3369,0.2262,0.1269,,0
101,79.2,0.89,0.844,12.11,15.84,-0.2965,0.183,0.0676,,0
102,77.7,0.693,0.975,9.49,18.31,-0.3145,0.2115,0.0869,,0
103,77.7,1.8,0.839,19.39,15.76,-0.3156,0.1821,0.0855,,0
104,79.3,1.638,1.019,20.15,19.15,0.0196,0.2212,0.0558,,0
105,82.2,2.53,1.004,25.26,18.85,-0.1161,0.2178,0.0702,,0
106,85.1,0.525,0.936,26.53,17.58,0.0333,0.2031,0.0947,,0
107,88.8,1.194,1.097,14.63,20.61,0.0004,0.2381,0.1266,,0
108,224.7,-0.35,1.318,72.71,24.75,0.5291,0.286,0.01,,0
109,218.4,0.499,1.28,76.74,24.04,0.3827,0.2777,0.0843,,0
110,212.3,-1.015,1.208,81.16,22.7,0.5345,0.2622,0.1402,,0
111,196.4,1.016,1.022,59.51,19.2,0.1078,0.2218,0.0964,,0
112,112.6,1.075,0.95,-8.64,17.84,-0.0634,0.2061,0.1401,,0
113,104.3,1.849,0.895,-10.81,16.8,0.0049,0.1941,0.113,,0
114,82.9,0.145,1.136,28.83,21.33,0.0789,0.2464,0.136,,0
115,76.7,1.83,1.01,23.32,18.98,0.044,0.2192,0.1412,,0
116,63.9,2.103,0.814,23.07,15.29,-0.2696,0.1767,0.0935,,0
117,65.8,1.638,1.021,20.16,19.18,0.0197,0.2215,0.0559,,0
118,81.7,1.03,1.059,32.74,19.88,0.0116,0.2297,0.0995,,0
119,88.4,0.696,1.047,41.97,19.67,-0.0618,0.2272,0.1473,,0
120,95.9,-0.015,1.079,34.4,20.27,-0.1509,0.2342,0.1209,,0
121,206.9,0.682,1.24,79.12,23.29,0.319,0.269,0.048,,0
122,194.6,-0.792,1.152,80.19,21.64,0.4724,0.25,0.1169,,0
123,184.0,1.503,1.05,67.53,19.72,-0.0542,0.2278,0.2232,,0
124,152.8,0.107,1.201,50.23,22.56,0.4134,0.2606,0.0727,,0
125,148.2,0.684,1.006,50.45,18.9,0.5056,0.2184,0.1546,,0
126,139.2,0.72,1.257,38.0,23.61,0.2752,0.2728,0.0729,,0
127,121.2,0.439,1.249,20.82,23.45,0.0027,0.2709,0.0564,,0
128,103.4,0.189,1.04,4.13,19.54,-0.2263,0.2258,0.0822,,0
129,95.0,2.861,1.037,-1.24,19.49,0.138,0.2251,0.0272,,0
130,70.6,0.898,1.172,38.21,22.02,0.0465,0.2544,0.1483,,0
131,78.2,0.99,1.066,42.77,20.03,-0.1832,0.2314,0.1492,,0
132,86.6,0.566,1.06,25.54,19.91,0.0329,0.23,0.0965,,0
133,95.5,0.29,1.086,20.0,20.4,0.0528,0.2356,0.1454,,0
134,223.3,1.131,1.008,47.98,18.93,0.9677,0.2187,0.0857,,0
135,216.1,0.159,1.019,21.87,19.13,0.5773,0.221,0.1691,,0
136,202.0,1.326,1.171,49.89,21.99,0.4804,0.254,0.1332,,0
137,171.6,1.71,1.312,45.9,24.64,0.0419,0.2847,0.249,,0
138,149.1,1.912,1.068,37.79,20.06,0.27,0.2317,0.0612,,0
139,139.2,0.906,1.14,36.75,21.42,0.4657,0.2475,0.0507,,0
140,137.2,0.608,0.974,56.29,18.29,0.4579,0.2113,0.1881,,0
141,113.0,-0.898,1.287,15.39,24.17,-0.0963,0.2793,0.1455,,0
142,104.1,-0.191,1.138,4.03,21.38,-0.0275,0.247,0.2365,,0
143,69.2,0.096,1.248,39.23,23.43,0.0255,0.2707,0.0548,,0
144,47.4,1.703,1.02,-2.77,19.16,-0.1977,0.2213,0.2176,,0
145,41.6,0.452,1.23,35.14,23.1,0.1249,0.2669,0.1426,,0
146,38.1,0.093,0.987,40.2,18.53,-0.0042,0.2141,0.1046,,0
147,36.2,1.179,0.891,40.93,16.73,0.1555,0.1932,0.0399,,0
148,36.2,0.95,0.868,30.39,16.31,-0.3016,0.1884,0.1636,,0
149,39.1,1.536,1.064,45.01,19.98,-0.0846,0.2309,0.1523,,0
150,60.6,1.063,1.27,39.89,23.85,0.1889,0.2755,0.2111,,0
151,69.3,0.571,1.099,36.09,20.65,-0.1278,0.2385,0.143,,0
152,212.8,0.779,1.082,43.35,20.33,0.7469,0.2349,0.1202,,0
153,198.3,0.527,1.2,16.26,22.55,0.4193,0.2605,0.0388,,0
154,191.1,1.754,1.179,44.15,22.15,0.1536,0.2559,0.1075,,0
155,154.1,-0.373,1.211,67.5,22.75,0.3068,0.2629,0.1326,,0
156,139.7,1.708,0.968,53.94,18.18,0.2713,0.21,0.1242,,0
157,113.8,-0.448,1.239,27.2,23.27,0.0083,0.2688,0.1062,,0
158,104.9,-1.112,1.282,23.94,24.07,-0.2066,0.2781,0.1699,,0
159,95.9,-0.048,1.145,-7.39,21.5,-0.1533,0.2484,0.2141,,0
160,68.9,0.82,1.173,42.16,22.03,-0.1261,0.2545,0.0345,,0
161,60.0,-0.717,1.068,49.49,20.06,-0.1046,0.2317,0.1318,,0
162,51.6,0.656,1.149,57.97,21.58,-0.0767,0.2493,0.1421,,0
163,29.7,0.004,1.208,41.6,22.7,0.0316,0.2622,0.1307,,0
164,24.6,0.161,1.051,43.68,19.75,-0.0026,0.2281,0.1248,,0
165,22.5,1.009,1.035,48.15,19.44,0.0751,0.2246,0.1139,,0
166,22.6,1.972,0.785,47.79,14.75,-0.0946,0.1704,0.0886,,0
167,25.8,0.845,1.109,38.92,20.83,0.0399,0.2406,0.1224,,0
168,62.3,1.803,1.089,17.73,20.46,-0.0731,0.2364,0.0789,,0
169,93.6,1.473,1.147,26.4,21.54,0.1229,0.2489,0.2996,,0
170,180.5,1.343,1.091,29.91,20.5,-0.091,0.2368,0.1598,,0
171,166.4,1.287,1.293,32.28,24.3,0.2032,0.2807,0.0913,,0
172,147.5,-0.552,1.173,51.17,22.03,0.1684,0.2545,0.1884,,0
173,136.8,-1.771,1.257,73.28,23.62,0.3758,0.2728,0.0869,,0
174,131.8,-1.169,1.069,73.04,20.08,0.4794,0.232,0.2485,,0
175,127.0,0.186,1.254,57.22,23.56,0.4729,0.2722,0.1315,,0
176,102.8,-0.663,1.323,39.77,24.85,0.1357,0.2871,0.0958,,0
177,69.8,1.04,1.238,0.61,23.25,-0.4679,0.2686,0.121,,0
178,60.8,1.504,1.168,29.48,21.94,-0.104,0.2534,0.0873,,0
179,51.8,0.43,1.059,36.04,19.89,-0.2518,0.2297,0.1161,,0
180,42.8,0.656,1.15,57.98,21.6,-0.0766,0.2496,0.1425,,0
