idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
77,451.6,1.126,0.328,21.84,6.15,0.381,0.0712,0.7323,,1
78,490.5,-1.679,0.635,51.93,11.89,0.6944,0.1377,0.3385,,0
79,479.8,0.644,0.172,27.21,3.22,0.561,0.0373,0.8451,,1
80,468.9,0.109,0.225,66.95,4.22,0.5918,0.0489,0.7553,,1
81,429.2,1.51,0.36,51.07,6.75,0.727,0.0782,0.6022,,1
82,210.6,0.968,1.023,-8.97,19.16,-0.7299,0.2219,0.1348,,0
83,198.8,-0.578,0.608,44.53,11.38,0.2778,0.1319,0.3749,,1
84,446.1,1.172,0.195,32.02,3.66,0.6183,0.0424,0.8178,,1
85,474.5,1.02,0.174,25.15,3.27,0.5906,0.0378,0.8403,,1
86,452.7,0.205,0.55,10.82,10.31,0.2732,0.1194,0.6838,,1
87,476.4,0.148,0.205,51.71,3.84,0.6835,0.0445,0.7858,,1
88,170.8,1.391,0.219,34.56,4.1,0.3884,0.0475,0.7781,,1
89,202.3,1.069,1.232,-5.66,23.07,-0.5235,0.2673,0.1869,,0
90,461.7,0.693,0.766,-0.25,14.35,0.1134,0.1663,0.2996,,0
91,442.7,-0.017,0.189,49.55,3.54,0.6194,0.041,0.8146,,1
92,431.1,0.733,0.159,37.89,2.98,0.5361,0.0345,0.8741,,1
93,436.9,0.73,0.382,25.36,7.16,0.2323,0.083,0.528,,1
94,323.1,-0.149,0.947,-68.89,17.74,-1.2794,0.2055,0.1476,,0
95,175.2,0.122,0.378,38.76,7.08,0.4045,0.082,0.6002,,1
96,164.7,-0.013,0.249,40.32,4.66,0.4116,0.054,0.7327,,1
97,227.9,-0.035,1.192,2.58,22.33,-0.6307,0.2588,0.0411,,0
98,186.4,0.441,0.338,36.67,6.33,0.537,0.0733,0.5992,,1
99,154.6,0.788,0.259,33.98,4.85,0.3736,0.0562,0.6998,,1
100,494.3,1.527,0.286,37.99,5.36,0.5363,0.0621,0.6437,,1
101,432.9,0.328,0.16,27.83,3.0,0.3063,0.0348,0.872,,1
102,442.3,1.026,0.339,32.19,6.34,0.6839,0.0735,0.5438,,1
103,262.3,0.784,0.316,50.64,5.92,0.6095,0.0686,0.5943,,1
104,465.2,-0.242,0.24,42.83,4.49,0.4691,0.0521,0.7133,,1
105,196.6,1.301,0.613,28.36,11.47,0.3546,0.1329,0.4627,,1
106,354.0,0.889,1.377,-72.49,25.8,-1.4055,0.2989,0.1276,,0
107,467.0,-0.056,0.203,57.5,3.79,0.6363,0.044,0.7912,,1
108,337.3,0.089,0.93,-47.54,17.42,-1.0255,0.2018,0.1027,,0
109,473.1,0.117,0.441,30.11,8.26,0.3302,0.0956,0.3571,,1
110,149.0,-0.384,0.293,38.98,5.5,0.3309,0.0637,0.7229,,1
111,189.2,0.382,0.255,32.57,4.78,0.373,0.0554,0.7102,,1
112,185.7,0.925,0.33,35.72,6.18,0.5308,0.0716,0.7632,,1
113,427.7,-0.092,0.575,17.42,10.78,0.2189,0.1248,0.6654,,1
114,451.2,0.305,0.486,11.68,9.09,0.3685,0.1054,0.7506,,1
115,81.6,-0.92,1.12,-8.28,20.97,-0.6269,0.243,0.013,,0
116,49.1,1.163,1.418,-70.95,26.55,-0.4864,0.3076,0.3526,,1
117,253.8,0.752,0.198,41.82,3.71,0.4208,0.043,0.811,,1
118,649.1,-1.145,1.307,-7.58,24.48,-0.2985,0.2836,0.1158,,0
119,192.9,0.722,0.227,32.06,4.24,0.307,0.0492,0.7728,,1
120,483.7,0.744,0.175,30.14,3.28,0.5383,0.038,0.8402,,1
121,174.7,0.27,0.374,31.02,7.0,0.3354,0.0811,0.7432,,1
122,94.5,0.752,0.331,35.1,6.2,0.7148,0.0718,0.6492,,1
