idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
74,499.2,-0.312,0.785,15.47,15.93,-0.2011,0.1703,0.3723,,1
75,245.5,-0.826,0.616,-24.08,12.49,0.0177,0.1335,0.41,,1
76,182.0,0.099,1.001,148.62,20.32,-0.0057,0.2172,0.1046,,0
77,134.8,-0.914,0.146,-19.94,2.97,-0.0763,0.0317,0.8928,,1
78,264.5,-0.399,0.346,-22.6,7.03,0.0186,0.0751,0.6104,,1
79,250.6,-0.399,0.345,-22.58,7.0,0.0187,0.0748,0.612,,1
80,498.3,-0.048,0.304,-2.4,6.17,-0.1666,0.0659,0.7842,,1
81,211.2,0.93,1.566,88.86,31.79,-0.2853,0.3397,0.0506,,0
82,172.9,-0.16,1.001,166.74,20.31,0.0178,0.2171,0.0691,,0
83,61.7,-0.43,1.239,175.34,25.14,-0.2219,0.2687,0.1105,,0
84,196.9,-0.162,0.972,164.0,19.74,-0.0796,0.2109,0.1711,,0
85,114.0,-1.435,0.279,-23.32,5.66,-0.0701,0.0604,0.6801,,1
86,119.8,-0.887,0.229,-31.28,4.64,-0.0858,0.0496,0.7581,,1
87,159.6,0.238,0.994,180.18,20.17,-0.0015,0.2156,0.0566,,0
88,140.8,-1.415,1.197,153.27,24.31,-0.1683,0.2597,0.0919,,0
89,150.5,0.599,0.401,-46.17,8.14,-0.1023,0.0869,0.4289,,1
90,78.5,-0.008,0.176,-9.29,3.58,-0.1447,0.0382,0.8394,,1
91,283.7,-0.209,0.151,-25.03,3.06,-0.0523,0.0327,0.8853,,1
92,551.9,-0.596,1.186,14.12,24.08,-0.0723,0.2573,0.1177,,0
93,425.4,-0.591,0.385,1.73,7.81,-0.1382,0.0835,0.6595,,1
94,557.8,0.132,1.128,22.2,22.89,-0.2915,0.2446,0.0502,,0
95,290.4,-0.427,1.03,149.67,20.9,0.0094,0.2233,0.1754,,0
96,215.0,-0.999,0.547,19.83,11.1,-0.0738,0.1187,0.331,,0
97,238.5,-1.079,0.13,-18.71,2.65,-0.1434,0.0283,0.912,,1
98,375.4,-0.974,0.416,-11.79,8.44,0.0394,0.0902,0.376,,1
99,548.3,0.042,1.136,29.73,23.06,-0.2346,0.2464,0.1591,,0
100,19.3,-0.563,1.018,152.72,20.67,-0.1367,0.2209,0.1121,,0
101,168.9,-0.747,1.07,150.68,21.72,0.0227,0.2322,0.1676,,0
102,120.8,-0.12,0.487,-41.23,9.89,-0.1181,0.1057,0.2446,,0
103,91.3,-0.158,0.139,-12.74,2.82,-0.0736,0.0301,0.9012,,1
104,309.5,-0.176,0.126,-10.74,2.57,-0.05,0.0274,0.9151,,1
105,137.0,-1.252,1.13,169.81,22.93,-0.0775,0.245,0.0533,,0
106,363.6,-0.117,0.742,11.39,15.05,0.0635,0.1609,0.0495,,0
107,48.4,-0.179,0.436,-32.02,8.86,-0.1896,0.0947,0.4643,,1
108,477.8,0.181,0.3,0.36,6.09,-0.0711,0.0651,0.8068,,1
109,472.3,-0.309,0.344,4.97,6.99,-0.0937,0.0747,0.6269,,1
110,234.3,-0.096,1.09,146.05,22.11,-0.0677,0.2363,0.1906,,0
111,275.8,-2.03,0.718,-29.75,14.57,-0.3163,0.1557,0.1461,,0
112,104.1,0.854,0.392,-18.74,7.95,-0.0659,0.085,0.4972,,1
113,40.2,-0.427,0.593,-5.69,12.04,-0.054,0.1287,0.7177,,1
114,89.8,-0.281,0.135,-14.11,2.74,-0.0375,0.0293,0.9028,,1
115,544.7,-0.064,1.193,42.27,24.21,-0.3575,0.2587,0.1673,,0
