idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
75,147.7,-2.399,1.431,21.72,27.23,-0.3867,0.3113,0.0835,,0
76,135.0,1.145,0.921,23.5,17.53,0.3057,0.2004,0.1362,,0
77,0.1,-2.175,0.71,50.11,13.51,-0.1835,0.1545,0.0992,,0
78,295.2,1.128,1.267,53.15,24.12,0.2368,0.2757,0.1439,,0
79,341.1,0.886,1.43,90.61,27.22,0.1918,0.3112,0.0384,,0
80,12.3,-0.843,0.738,12.19,14.04,-0.3109,0.1605,0.2956,,0
81,103.9,-0.972,1.091,35.44,20.77,0.1365,0.2375,0.1766,,0
82,3.1,-0.646,0.703,18.02,13.38,-0.4074,0.153,0.1671,,0
83,11.4,-1.994,0.824,15.94,15.69,-0.2264,0.1794,0.2639,,0
84,7.5,-0.48,0.722,1.07,13.74,-0.4102,0.157,0.0724,,0
85,83.1,-1.831,1.001,22.13,19.06,0.0681,0.2178,0.0446,,0
86,172.9,-1.312,1.566,-2.59,29.81,-0.4545,0.3408,0.1025,,0
87,21.7,-1.531,0.551,9.21,10.49,-0.1757,0.1199,0.3638,,1
88,19.9,-1.687,0.768,42.68,14.62,-0.3018,0.1671,0.172,,0
89,16.4,-2.078,0.862,20.84,16.41,-0.1394,0.1875,0.0745,,0
90,119.2,0.576,0.76,22.41,14.46,0.3912,0.1653,0.1251,,0
91,1.0,-1.21,0.795,14.21,15.14,-0.1813,0.1731,0.1117,,0
92,18.4,-1.847,0.543,58.98,10.34,-0.1183,0.1182,0.2066,,0
93,0.8,-0.924,0.783,31.97,14.9,-0.3961,0.1704,0.1532,,0
94,3.4,-0.814,0.755,21.07,14.37,-0.4089,0.1643,0.0732,,0
95,224.0,0.465,1.245,68.39,23.7,-0.2342,0.271,0.0359,,0
96,152.6,-1.833,1.523,21.89,28.99,-0.3865,0.3314,0.0596,,0
97,129.6,0.306,0.832,27.88,15.84,0.3763,0.1811,0.1928,,0
98,11.2,-2.038,0.676,32.73,12.87,-0.6727,0.1471,0.2587,,0
99,168.0,-0.693,1.616,-2.1,30.77,-0.5278,0.3518,0.0365,,0
100,15.3,-2.945,0.824,35.49,15.69,-0.1952,0.1793,0.088,,0
101,21.4,-2.158,0.887,26.6,16.89,-0.2192,0.1931,0.0854,,0
102,457.2,-1.115,1.575,-2.62,29.99,-0.7463,0.3428,0.151,,0
103,462.2,-0.404,1.484,-7.54,28.26,-0.7267,0.323,0.097,,0
104,227.5,1.259,0.924,25.79,17.59,-0.1336,0.2011,0.19,,0
105,9.8,-1.883,0.808,38.98,15.39,0.1849,0.1759,0.0282,,0
106,18.4,-1.356,0.973,-0.18,18.52,-0.543,0.2117,0.1015,,0
107,13.8,-1.922,0.713,44.25,13.57,-0.1221,0.1552,0.1453,,0
108,13.8,-2.053,0.698,55.13,13.29,-0.6916,0.1519,0.0382,,0
109,119.7,0.385,0.851,22.35,16.21,0.3807,0.1853,0.3051,,0
110,23.3,-2.639,0.883,38.09,16.81,0.1609,0.1922,0.22,,0
111,4.5,-1.427,0.764,14.38,14.54,-0.2149,0.1662,0.1406,,0
112,14.3,-0.701,0.694,24.95,13.22,-0.0661,0.1511,0.1649,,0
113,109.3,-0.643,0.856,18.35,16.3,0.5075,0.1864,0.1129,,0
114,9.5,-1.731,0.726,21.54,13.81,-0.3973,0.1579,0.0557,,0
115,232.5,2.043,0.977,29.37,18.59,0.0075,0.2125,0.1183,,0
116,182.8,-1.51,1.684,-1.01,32.06,-0.6159,0.3666,0.0077,,0
117,218.5,0.802,1.227,75.36,23.36,-0.1807,0.267,0.1535,,0
118,284.0,2.473,1.21,42.36,23.03,0.1728,0.2633,0.1363,,0
