idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
1283,462.0,-0.301,0.146,-5.99,2.74,-0.2638,0.0317,0.9099,,1
1284,458.3,-0.148,0.718,-30.0,13.5,-0.2546,0.1557,0.095,,0
1285,865.3,-0.6,0.38,6.66,7.15,-0.381,0.0825,0.5949,,1
1286,764.0,-0.572,1.206,13.73,22.68,0.031,0.2616,0.0298,,0
1287,79.9,-1.536,1.492,51.17,28.06,0.734,0.3237,0.0914,,0
1288,793.6,-0.294,0.126,9.07,2.37,-0.1304,0.0273,0.9151,,1
1289,276.9,-0.674,0.339,5.84,6.37,0.1018,0.0735,0.6361,,1
1290,582.2,-1.088,0.147,-14.22,2.77,-0.2496,0.0319,0.8884,,1
1291,550.9,0.091,0.414,20.41,7.79,-0.0833,0.0899,0.6072,,1
1292,293.9,1.128,0.403,-18.59,7.59,0.3317,0.0875,0.5799,,1
1293,126.4,0.508,0.603,24.73,11.34,-0.2795,0.1308,0.3942,,1
1294,89.5,-0.223,0.175,-8.11,3.3,-0.2363,0.038,0.8425,,1
1295,155.7,0.098,0.524,-21.51,9.86,-0.1718,0.1137,0.3972,,1
1296,648.6,1.306,0.524,27.54,9.86,-0.1213,0.1137,0.3215,,0
1297,529.8,0.439,0.22,-25.52,4.14,-0.6134,0.0477,0.7635,,1
1298,485.5,-0.112,0.593,43.85,11.16,0.3659,0.1287,0.2637,,0
1299,183.1,0.212,0.256,0.37,4.82,0.0682,0.0556,0.7863,,1
1300,15.6,-0.176,0.727,-4.44,13.68,0.1881,0.1578,0.4017,,1
1301,903.4,0.04,0.533,21.97,10.03,-0.1577,0.1157,0.4359,,1
1302,684.7,0.182,0.611,14.34,11.49,-0.0816,0.1326,0.4957,,1
1303,327.3,-0.006,0.693,-19.51,13.03,-0.0411,0.1503,0.2535,,0
1304,133.0,-1.154,0.488,-6.8,9.18,-0.358,0.1059,0.4286,,1
