idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
406,509.6,-0.858,1.544,-2.84,28.88,-0.4075,0.3351,0.1684,,0
407,35.2,1.182,1.264,-48.58,23.64,-0.8658,0.2743,0.0163,,0
408,41.0,-0.235,1.094,32.49,20.46,0.3486,0.2373,0.0552,,0
409,2.5,0.198,1.301,13.45,24.34,-0.0248,0.2824,0.3174,,0
410,176.3,-1.125,0.953,-108.22,17.82,-1.2656,0.2068,0.1275,,0
411,183.9,-0.618,1.192,-40.2,22.29,-1.252,0.2587,0.096,,0
412,259.1,-3.252,1.13,31.95,21.13,0.0145,0.2451,0.1683,,0
413,374.3,2.619,0.455,47.5,8.52,0.8096,0.0988,0.3608,,1
414,549.9,1.787,1.256,83.18,23.49,0.4131,0.2726,0.0291,,0
415,341.9,1.882,0.712,80.37,13.32,0.667,0.1545,0.055,,0
416,332.4,1.594,0.647,76.14,12.1,0.8258,0.1403,0.2065,,0
417,510.3,-1.03,0.873,44.15,16.33,-0.1229,0.1895,0.1912,,0
418,316.1,-0.203,0.756,-120.46,14.13,-1.3751,0.164,0.2242,,0
419,348.6,0.197,0.653,-115.02,12.21,-1.1444,0.1416,0.3101,,0
420,159.7,0.089,0.865,-56.38,16.17,-1.3606,0.1876,0.0784,,0
421,458.9,0.963,0.534,-131.99,9.99,-1.4334,0.116,0.2166,,0
422,462.1,0.151,1.127,-32.7,21.07,-0.5474,0.2445,0.1078,,0
423,590.3,1.915,1.008,75.83,18.86,0.4082,0.2188,0.098,,0
424,166.5,-0.241,1.102,-36.73,20.62,-1.1561,0.2392,0.1137,,0
425,157.4,1.988,0.578,31.48,10.82,0.2575,0.1255,0.1873,,0
426,22.5,1.285,1.478,-16.36,27.64,-0.1338,0.3207,0.0921,,0
427,322.2,0.65,0.846,-126.86,15.83,-1.3505,0.1837,0.1537,,0
428,409.5,3.163,0.978,42.15,18.28,0.6486,0.2121,0.3175,,0
429,350.5,-1.134,1.021,-33.77,19.09,-0.5912,0.2214,0.0902,,0
430,20.0,-2.822,1.602,-14.99,29.95,-0.2595,0.3475,0.1755,,0
431,8.1,-0.956,1.284,21.83,24.02,-0.4605,0.2787,0.0918,,0
432,453.9,1.789,0.405,74.21,7.57,0.6058,0.0878,0.3868,,1
433,473.0,2.071,0.517,-139.06,9.66,-1.327,0.1121,0.3101,,0
434,552.9,-0.91,1.011,-124.99,18.9,-1.2939,0.2193,0.1973,,0
435,418.1,-2.647,0.916,16.02,17.13,-0.7731,0.1987,0.0555,,0
436,22.1,-2.882,1.4,-3.69,26.18,-0.5082,0.3038,0.2374,,0
437,358.2,-0.652,0.617,-134.11,11.55,-1.716,0.134,0.2072,,0
438,519.1,-1.718,1.218,2.53,22.78,-0.1368,0.2643,0.1848,,0
439,232.2,-1.448,0.81,-111.33,15.15,-1.372,0.1758,0.1528,,0
440,386.3,-0.819,1.836,-55.74,34.34,-0.3777,0.3984,0.1304,,0
441,184.4,-0.758,1.197,-54.55,22.38,-1.0728,0.2597,0.2458,,0
442,675.0,0.551,0.94,-125.5,17.57,-1.4075,0.2039,0.1333,,0
443,376.6,-1.445,1.076,-10.98,20.12,-0.3738,0.2335,0.1905,,0
444,578.8,-0.78,1.366,66.62,25.55,0.3633,0.2965,0.0608,,0
445,11.1,0.512,1.209,-49.91,22.62,-0.734,0.2624,0.1589,,0
446,588.8,-1.565,1.429,-83.74,26.73,-0.6803,0.3102,0.1982,,0
447,318.5,1.532,0.555,47.58,10.37,0.5535,0.1204,0.3603,,1
448,434.2,1.152,0.526,-129.73,9.83,-1.5361,0.1141,0.4098,,1
449,369.0,1.122,0.449,-131.34,8.4,-1.3628,0.0975,0.3309,,0
450,333.5,-0.668,1.307,-45.49,24.45,-0.8188,0.2837,0.2136,,0
451,254.0,-3.019,1.061,21.83,19.84,-0.1498,0.2303,0.2097,,0
452,386.6,-1.361,1.121,-12.12,20.97,-0.7294,0.2433,0.0921,,0
453,401.5,-1.745,0.928,-7.45,17.36,-0.9863,0.2014,0.2235,,0
454,411.2,3.412,0.957,53.7,17.89,0.3736,0.2076,0.3665,,1
455,34.4,0.583,1.364,-41.69,25.51,-0.4889,0.296,0.237,,0
456,334.5,-1.271,0.804,-104.32,15.04,-1.2767,0.1745,0.3244,,0
457,394.4,1.101,0.669,-151.35,12.52,-1.4242,0.1453,0.0735,,0
458,149.6,-0.859,1.393,-1.21,26.06,-0.4226,0.3023,0.1882,,0
459,357.9,-0.418,0.682,-126.73,12.76,-1.404,0.148,0.0628,,0
460,397.2,-3.696,1.633,29.03,30.54,-0.8068,0.3543,0.1193,,0
461,16.4,0.262,1.534,-0.02,28.69,-0.1439,0.3329,0.0881,,0
462,312.1,-0.839,0.651,-105.41,12.17,-1.4754,0.1413,0.2693,,0
463,398.5,3.168,0.838,54.23,15.66,0.7755,0.1818,0.0928,,0
464,563.2,-1.233,1.026,-128.27,19.19,-1.1517,0.2227,0.0425,,0
465,2.3,1.442,1.295,-35.23,24.22,-0.3865,0.281,0.1218,,0
466,438.7,0.997,0.621,-133.37,11.62,-1.6333,0.1348,0.0869,,0
467,440.9,0.858,0.623,-128.47,11.65,-1.4612,0.1352,0.1947,,0
468,18.8,1.159,1.108,-27.28,20.72,-0.3728,0.2404,0.3111,,0
469,412.6,-0.206,0.688,-127.57,12.87,-1.5,0.1493,0.2531,,0
470,409.8,-2.048,1.02,-14.28,19.08,-0.7989,0.2213,0.183,,0
471,384.1,1.254,0.525,38.32,9.82,0.6664,0.114,0.314,,0
472,467.6,-2.296,0.961,49.04,17.97,-0.2241,0.2085,0.0901,,0
473,434.7,-0.316,0.805,-145.53,15.06,-1.2465,0.1747,0.159,,0
474,556.9,-0.418,1.084,-113.44,20.26,-1.2745,0.2351,0.2085,,0
475,35.4,0.736,1.231,-0.56,23.02,-0.6145,0.2671,0.0797,,0
476,409.9,1.66,0.533,56.8,9.96,0.7476,0.1156,0.057,,0
477,54.9,-0.643,1.031,31.93,19.28,0.3471,0.2237,0.0772,,0
478,24.0,-2.226,1.645,1.57,30.77,-0.4118,0.357,0.1247,,0
479,330.9,1.187,0.756,71.18,14.13,0.8114,0.164,0.2249,,0
480,337.0,2.175,0.469,49.39,8.76,0.8542,0.1017,0.3626,,1
481,18.4,1.041,1.332,-31.29,24.91,-0.5656,0.289,0.2002,,0
482,408.3,2.472,0.968,42.86,18.1,0.7273,0.21,0.1755,,0
483,9.0,1.362,1.284,-45.72,24.01,-0.5699,0.2786,0.0777,,0
484,171.6,-0.336,1.119,-96.04,20.92,-1.6456,0.2427,0.1268,,0
485,611.1,0.655,1.466,90.41,27.41,0.2294,0.318,0.1069,,0
486,479.3,-0.983,1.016,-17.91,18.99,-0.5859,0.2204,0.2347,,0
487,247.0,-0.699,0.615,-112.21,11.5,-1.149,0.1334,0.2364,,0
488,167.4,0.395,0.89,-52.55,16.65,-1.229,0.1931,0.0977,,0
489,287.2,-0.468,0.915,-46.91,17.11,-1.2689,0.1985,0.1364,,0
490,605.1,0.737,1.531,91.39,28.64,0.3977,0.3322,0.0804,,0
491,21.7,0.83,1.027,-48.65,19.21,-0.6291,0.2229,0.1808,,0
492,0.4,0.236,1.451,9.94,27.13,-0.1134,0.3148,0.0742,,0
493,160.9,-0.336,0.859,-63.94,16.06,-1.3718,0.1863,0.3223,,0
494,269.8,0.491,0.672,-108.98,12.56,-1.4758,0.1458,0.376,,1
495,24.4,1.842,1.376,-22.78,25.74,-0.4588,0.2987,0.2361,,0
496,258.3,-0.849,1.633,-16.22,30.54,-0.7875,0.3544,0.0276,,0
497,314.2,-1.586,0.69,-128.98,12.91,-1.2299,0.1497,0.2505,,0
498,380.7,1.038,0.689,-135.7,12.88,-1.7458,0.1495,0.2152,,0
499,12.5,0.453,1.399,0.19,26.16,-0.1591,0.3035,0.1014,,0
500,30.0,-2.743,1.618,15.25,30.27,-0.4582,0.3512,0.1274,,0
501,272.5,-1.258,1.031,35.15,19.28,-0.1611,0.2237,0.1599,,0
502,546.8,1.199,0.615,-149.28,11.5,-1.7446,0.1334,0.053,,0
503,191.1,-1.009,0.902,-97.07,16.87,-1.2333,0.1957,0.1472,,0
504,426.2,0.569,0.565,47.56,10.56,0.6649,0.1225,0.2392,,0
505,265.6,1.659,0.518,57.4,9.68,0.2665,0.1123,0.2421,,0
506,41.9,0.029,1.324,2.18,24.76,-0.1259,0.2873,0.0555,,0
507,49.4,0.405,1.165,-6.75,21.79,-0.5505,0.2528,0.0515,,0
508,468.8,0.885,1.473,31.76,27.55,-0.3443,0.3197,0.0287,,0
509,420.0,2.129,0.391,49.14,7.3,0.8174,0.0847,0.3988,,1
510,390.7,0.975,1.316,-20.12,24.61,0.0889,0.2856,0.1828,,0
511,374.0,2.217,0.618,59.48,11.56,0.9738,0.1341,0.1677,,0
512,180.7,-0.697,0.987,-108.01,18.45,-1.1528,0.2141,0.1641,,0
513,397.3,3.43,0.881,55.11,16.47,0.6813,0.1911,0.0341,,0
514,239.6,2.024,0.45,54.72,8.42,0.5797,0.0977,0.3159,,0
515,429.2,1.362,0.438,-122.98,8.18,-1.4841,0.095,0.3975,,1
516,102.3,-0.484,1.042,-105.83,19.48,-0.9032,0.226,0.0515,,0
517,108.3,-0.485,1.042,-105.78,19.49,-0.9031,0.2262,0.0522,,0
518,461.9,-0.892,0.972,-15.37,18.18,-0.4811,0.211,0.0649,,0
519,374.5,-1.235,1.412,-12.66,26.4,-0.7703,0.3064,0.3303,,0
520,221.6,2.21,0.683,38.12,12.77,0.4602,0.1482,0.1165,,0
521,428.6,0.6,0.665,-145.34,12.44,-1.1618,0.1443,0.2647,,0
522,167.1,-0.296,1.372,-13.31,25.66,-0.4887,0.2977,0.1099,,0
523,260.0,1.624,0.443,58.51,8.29,0.5719,0.0962,0.3003,,0
524,304.5,0.429,0.802,-106.11,14.99,-1.4789,0.174,0.1952,,0
525,271.2,0.115,0.674,-106.9,12.6,-1.4551,0.1462,0.3953,,1
526,154.8,-1.371,1.46,13.57,27.31,-0.9918,0.3169,0.1926,,0
527,455.6,-1.894,0.951,24.73,17.79,-0.5101,0.2064,0.1652,,0
528,342.9,-0.863,1.349,-44.11,25.22,-0.7396,0.2926,0.2259,,0
529,558.2,1.796,1.102,66.36,20.61,0.5362,0.2391,0.0878,,0
530,307.8,1.366,0.588,48.62,11.0,0.6283,0.1277,0.2711,,0
531,516.9,-2.147,1.436,2.79,26.85,-0.2511,0.3115,0.1916,,0
532,261.6,1.548,0.531,55.39,9.93,0.5058,0.1152,0.3057,,0
533,441.8,1.418,0.451,50.03,8.44,0.6468,0.0979,0.2984,,0
534,352.1,1.46,0.639,52.69,11.96,0.8067,0.1387,0.3079,,0
535,362.2,0.533,0.449,-129.44,8.39,-1.5702,0.0973,0.3632,,1
536,182.0,-1.168,1.062,-86.95,19.85,-1.0612,0.2304,0.0435,,0
537,578.2,2.49,1.085,71.13,20.28,0.3804,0.2353,0.0759,,0
538,479.3,-2.513,1.067,-4.07,19.95,-0.7629,0.2315,0.1324,,0
539,194.0,-1.665,1.228,6.76,22.97,0.1102,0.2665,0.0481,,0
540,444.8,0.822,0.602,-129.58,11.26,-1.4519,0.1307,0.2104,,0
541,247.7,1.24,0.665,-116.02,12.44,-1.2656,0.1444,0.2205,,0
542,5.0,0.25,1.249,-52.71,23.36,-0.6667,0.271,0.0797,,0
543,400.5,0.116,0.761,-132.12,14.23,-1.3903,0.1651,0.2458,,0
544,176.8,-1.924,1.405,-3.47,26.28,-0.8042,0.3049,0.1236,,0
545,402.8,-0.001,0.8,-115.89,14.97,-1.3808,0.1737,0.1959,,0
546,178.1,-0.45,1.032,-104.5,19.3,-1.0186,0.2239,0.3062,,0
547,334.4,2.203,0.481,47.48,9.0,0.7976,0.1044,0.3788,,1
548,3.6,0.281,1.375,27.57,25.72,-0.0555,0.2984,0.2058,,0
549,373.7,1.652,0.63,36.2,11.78,0.6141,0.1367,0.1527,,0
