idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
76,796.1,0.7,0.894,64.28,16.86,0.1631,0.1939,0.1655,,0
77,833.4,2.035,0.952,9.09,17.96,0.6495,0.2066,0.0088,,0
78,9.2,0.25,0.527,-1.26,9.93,-0.2066,0.1143,0.3992,,1
79,826.7,2.95,0.993,7.35,18.73,0.6191,0.2155,0.0688,,0
80,404.5,2.526,0.557,-42.4,10.51,-0.2139,0.1209,0.1607,,0
81,824.1,0.371,0.56,-11.91,10.55,0.0452,0.1214,0.4309,,1
82,252.2,0.621,0.351,-31.36,6.62,-0.5067,0.0762,0.5375,,1
83,392.9,2.704,0.627,-52.23,11.82,-0.4129,0.1359,0.1834,,0
84,790.0,0.473,0.965,88.82,18.21,0.4242,0.2095,0.1033,,0
85,70.2,-0.801,0.478,-40.19,9.02,-0.5587,0.1037,0.7327,,1
86,529.7,0.841,0.32,-67.3,6.03,-0.39,0.0693,0.5458,,1
87,409.7,1.639,0.523,-38.45,9.87,-0.4019,0.1135,0.4608,,1
88,255.8,0.897,0.298,-35.59,5.62,-0.5493,0.0646,0.6853,,1
89,46.6,-0.418,0.358,-37.53,6.74,-0.4352,0.0776,0.6838,,1
90,383.5,1.584,0.706,12.07,13.32,0.4641,0.1533,0.0478,,0
91,70.1,-0.377,0.403,-35.01,7.61,-0.2558,0.0876,0.6224,,1
92,28.8,-0.327,0.372,-27.32,7.02,-0.3887,0.0808,0.6852,,1
93,617.4,1.121,1.179,-51.23,22.23,0.0424,0.2558,0.1927,,0
94,403.2,1.19,0.587,-14.27,11.08,-0.0864,0.1274,0.3223,,0
95,511.9,0.799,0.293,-63.02,5.54,-0.4934,0.0637,0.6147,,1
96,36.0,-0.505,0.381,-32.17,7.19,-0.4418,0.0827,0.5779,,1
97,37.7,0.247,0.521,-5.69,9.83,-0.2609,0.1131,0.3874,,1
98,720.7,-2.078,1.188,11.67,22.42,0.3939,0.2579,0.1653,,0
99,357.5,1.426,0.572,-28.51,10.79,-0.3397,0.1241,0.4216,,1
100,27.0,0.227,0.53,-6.03,9.99,-0.2547,0.1149,0.3772,,1
101,522.6,0.396,0.333,-47.4,6.29,-0.5276,0.0723,0.5561,,1
102,447.0,1.335,0.648,-17.47,12.22,-0.4643,0.1406,0.5645,,1
103,86.8,0.61,0.406,-39.3,7.66,-0.3058,0.0881,0.5229,,1
104,351.2,1.771,0.701,-42.91,13.23,-0.4763,0.1522,0.1848,,0
105,778.4,1.244,0.95,74.09,17.91,0.0684,0.2061,0.1506,,0
106,64.4,0.616,0.448,-40.71,8.46,-0.4333,0.0973,0.431,,1
107,536.8,-0.886,0.506,-55.69,9.54,-0.4865,0.1097,0.2738,,0
108,801.7,0.316,0.925,91.49,17.45,0.3071,0.2008,0.1506,,0
109,382.7,0.28,0.448,-26.12,8.46,-0.2821,0.0973,0.5362,,1
110,1078.0,1.058,0.665,15.87,12.55,1.1059,0.1443,0.0814,,0
111,38.9,-0.138,0.384,-27.55,7.24,-0.378,0.0833,0.683,,1
112,802.2,0.947,0.892,58.1,16.83,0.1627,0.1936,0.1857,,0
113,79.2,0.357,0.293,-39.29,5.53,-0.3211,0.0636,0.6466,,1
114,1112.4,1.048,0.653,30.77,12.32,0.9765,0.1417,0.0855,,0
115,519.0,0.78,0.305,-58.92,5.75,-0.4599,0.0662,0.5812,,1
116,491.0,1.473,0.406,-30.76,7.65,-0.1311,0.088,0.5731,,1
117,427.0,0.738,0.488,-37.48,9.21,-0.3322,0.106,0.5051,,1
118,96.8,0.135,0.432,-40.65,8.15,-0.3395,0.0938,0.4834,,1
119,248.7,0.062,0.188,-39.13,3.55,-0.5942,0.0408,0.8274,,1
120,77.6,-0.195,0.447,-35.18,8.43,-0.3065,0.0969,0.4855,,1
121,48.7,0.112,0.417,-32.01,7.87,-0.455,0.0905,0.6334,,1
122,193.4,1.2,0.339,-46.26,6.39,-0.6191,0.0735,0.5833,,1
123,62.6,0.31,0.621,-39.48,11.71,-0.4079,0.1347,0.2694,,0
124,807.8,0.97,0.899,59.21,16.96,0.1834,0.1951,0.1509,,0
125,52.4,-0.69,0.363,-25.97,6.85,-0.3013,0.0788,0.6712,,1
126,27.2,-0.834,0.512,2.64,9.67,-0.2272,0.1112,0.4388,,1
127,540.4,0.784,0.306,-61.86,5.77,-0.4343,0.0663,0.6051,,1
128,205.2,0.259,0.994,6.46,18.74,0.0001,0.2156,0.2296,,0
129,448.3,1.563,0.673,-29.99,12.7,-0.3085,0.1461,0.323,,0
130,813.8,1.183,0.874,59.63,16.49,0.1584,0.1896,0.1981,,0
131,526.2,-0.049,0.305,-51.05,5.75,-0.4932,0.0662,0.6932,,1
132,1100.3,1.379,0.656,25.47,12.37,1.1639,0.1422,0.0791,,0
133,790.5,1.507,0.908,65.74,17.14,0.1337,0.1971,0.0432,,0
134,1095.7,1.153,0.7,19.17,13.21,1.193,0.1519,0.0457,,0
135,259.3,0.546,0.416,-37.26,7.85,-0.5383,0.0903,0.6993,,1
136,73.3,0.16,0.573,-32.5,10.82,-0.2703,0.1244,0.4077,,1
137,52.5,-0.027,0.587,-29.78,11.08,-0.4617,0.1275,0.1515,,0
138,445.7,1.193,0.368,-23.24,6.95,-0.0514,0.0799,0.6571,,1
139,212.6,-0.106,0.367,-42.92,6.93,-0.2499,0.0797,0.4444,,1
140,438.9,1.128,0.577,-35.93,10.89,-0.2465,0.1253,0.2813,,0
141,69.0,0.028,0.313,-42.41,5.9,-0.3559,0.0678,0.6889,,1
142,91.1,-0.553,0.533,-42.47,10.06,-0.1863,0.1158,0.4959,,1
143,61.5,-0.096,0.375,-32.74,7.08,-0.4188,0.0815,0.4591,,1
144,56.6,-0.305,0.362,-35.19,6.83,-0.3751,0.0786,0.6781,,1
145,245.1,0.42,0.308,-33.98,5.82,-0.5007,0.0669,0.5899,,1
146,727.5,-1.596,1.264,17.24,23.85,0.3659,0.2743,0.0494,,0
147,363.7,2.616,0.479,-24.96,9.03,-0.3032,0.1039,0.4362,,1
148,501.2,1.262,0.322,-59.31,6.07,-0.4699,0.0698,0.563,,1
149,828.7,-0.303,0.68,19.12,12.83,-0.2206,0.1476,0.0447,,0
150,70.4,-0.81,0.527,-35.6,9.94,-0.4312,0.1144,0.4701,,1
151,17.1,0.141,0.545,-4.63,10.28,-0.215,0.1183,0.3281,,0
152,547.5,-0.746,0.492,-58.11,9.29,-0.6313,0.1068,0.4492,,1
153,273.5,-0.878,0.552,-18.8,10.41,-0.6397,0.1198,0.2219,,0
154,458.0,1.305,0.657,-16.18,12.39,-0.4478,0.1425,0.5679,,1
155,840.3,-0.395,0.552,10.58,10.42,0.1275,0.1198,0.394,,1
156,533.3,0.312,0.368,-41.29,6.94,-0.3843,0.0798,0.5685,,1
157,90.9,-1.141,0.572,-47.57,10.8,-0.6397,0.1242,0.4563,,1
158,74.7,-0.223,0.749,-37.19,14.14,-0.5597,0.1626,0.4529,,1
159,238.0,0.154,0.19,-38.9,3.58,-0.5643,0.0412,0.8252,,1
160,76.5,0.104,0.229,-45.58,4.32,-0.6763,0.0497,0.8022,,1
161,447.1,1.179,0.474,-30.41,8.94,-0.0409,0.1029,0.4093,,1
162,852.0,-0.199,0.454,5.93,8.57,0.1649,0.0986,0.4917,,1
163,88.9,-1.11,0.57,-22.37,10.75,-0.414,0.1237,0.344,,0
164,25.3,-0.504,0.379,-20.13,7.15,-0.288,0.0823,0.4915,,1
165,1094.7,1.279,0.661,29.26,12.46,1.1276,0.1433,0.0664,,0
166,839.8,-0.194,0.49,-9.27,9.25,0.2439,0.1064,0.4997,,1
167,104.6,-0.221,0.376,-26.43,7.09,-0.4102,0.0815,0.5292,,1
