idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
75,9.3,-0.289,0.369,-10.58,7.11,-0.5167,0.0804,0.5586,,1
76,15.2,-0.683,0.346,-16.77,6.67,-0.5628,0.0754,0.5442,,1
77,98.1,-1.551,0.584,-1.68,11.24,-0.5434,0.127,0.3405,,0
78,49.6,-1.664,0.584,-4.46,11.25,-0.5028,0.1272,0.2155,,0
79,41.4,-1.457,0.403,-26.93,7.77,-0.4392,0.0878,0.3715,,1
80,204.1,0.363,0.797,13.35,15.35,-0.815,0.1735,0.1934,,0
81,5.0,-0.32,0.402,-2.15,7.75,-0.4866,0.0876,0.5395,,1
82,75.5,-1.068,0.504,-1.32,9.71,-0.6952,0.1097,0.3631,,1
83,174.4,0.214,0.743,-5.24,14.31,-0.43,0.1617,0.3301,,0
84,64.5,-0.547,0.579,-30.14,11.14,-0.6537,0.1259,0.5116,,1
85,30.4,-1.217,0.57,20.21,10.97,-0.1805,0.124,0.0912,,0
86,66.7,0.213,1.013,10.81,19.51,0.6011,0.2205,0.2652,,0
87,56.9,-0.83,1.187,2.75,22.85,0.633,0.2583,0.2093,,0
88,3.1,-0.346,0.421,-11.25,8.11,-0.3458,0.0917,0.4785,,1
89,409.2,-0.92,0.62,8.33,11.93,-0.2515,0.1348,0.3286,,0
90,535.4,-0.72,0.309,30.33,5.95,0.1717,0.0672,0.6527,,1
91,13.7,-0.561,0.36,-17.38,6.93,-0.3757,0.0784,0.5326,,1
92,60.2,-0.439,0.549,-28.96,10.58,-0.6437,0.1196,0.4319,,1
93,395.9,-0.124,0.937,8.18,18.05,-0.0511,0.204,0.1877,,0
94,55.9,-0.047,1.049,12.27,20.2,0.4959,0.2282,0.2588,,0
95,44.3,1.224,1.037,2.63,19.98,0.6921,0.2258,0.4277,,1
96,34.8,-1.702,0.948,24.04,18.27,0.1674,0.2064,0.0807,,0
97,474.9,-1.34,0.305,14.12,5.88,-0.0149,0.0664,0.6175,,1
98,139.2,-0.968,0.618,-24.36,11.91,-0.4506,0.1346,0.4572,,1
99,107.3,-0.591,0.565,-12.8,10.88,-0.3288,0.123,0.5884,,1
100,7.4,-0.591,0.497,3.55,9.57,-0.209,0.1082,0.3503,,1
101,163.8,0.154,0.756,3.09,14.57,-0.6065,0.1646,0.247,,0
102,96.7,-0.121,0.616,-13.16,11.86,-0.4472,0.1341,0.6441,,1
103,88.1,0.012,0.744,8.79,14.33,-0.0003,0.162,0.1297,,0
104,0.7,-0.524,1.407,39.22,27.09,0.1731,0.3061,0.1807,,0
105,39.6,-2.263,0.908,42.13,17.48,0.1922,0.1976,0.0546,,0
106,164.4,-1.963,0.737,-25.4,14.19,-0.3811,0.1603,0.3908,,1
107,68.2,0.005,1.138,6.23,21.91,0.6238,0.2476,0.0258,,0
108,11.7,-0.921,1.125,11.45,21.66,0.2241,0.2447,0.1691,,0
109,40.7,-1.942,0.374,-18.81,7.2,-0.4828,0.0814,0.5127,,1
110,178.7,0.147,0.702,0.66,13.52,-0.4756,0.1528,0.3455,,0
111,70.2,-0.616,1.103,6.75,21.25,0.4359,0.2401,0.1868,,0
112,27.6,-2.367,0.917,12.26,17.65,-0.3037,0.1995,0.0419,,0
113,193.6,-0.969,0.925,8.98,17.81,-0.6772,0.2013,0.185,,0
114,36.6,-1.168,0.891,-8.78,17.16,-0.2409,0.194,0.2554,,0
115,86.2,-0.742,0.775,-6.65,14.93,-0.3457,0.1687,0.0646,,0
116,24.2,-0.932,0.343,-12.42,6.6,-0.4624,0.0746,0.5441,,1
117,117.8,-1.432,0.568,-18.56,10.95,-0.4905,0.1237,0.4404,,1
118,211.9,-2.021,1.019,-8.63,19.61,-0.0865,0.2217,0.1901,,0
119,39.1,-0.667,0.419,-4.76,8.08,-0.4785,0.0913,0.5422,,1
120,539.4,-0.82,0.203,19.61,3.91,0.2453,0.0442,0.7927,,1
121,63.3,-1.572,1.059,2.91,20.39,-0.4695,0.2305,0.0603,,0
122,168.7,-1.63,0.77,-34.7,14.82,-0.3747,0.1675,0.352,,1
123,13.2,-0.34,0.424,-28.82,8.16,-0.6322,0.0922,0.4169,,1
124,529.0,0.275,1.257,30.32,24.21,-0.1593,0.2736,0.1331,,0
125,1.2,-1.417,0.424,-9.45,8.17,-0.4539,0.0923,0.3666,,1
126,179.2,-2.016,0.882,-26.68,16.98,-0.214,0.1919,0.1803,,0
127,102.9,-0.465,0.571,-14.83,10.99,-0.4014,0.1242,0.4478,,1
128,142.7,-0.874,0.599,-20.31,11.53,-0.3666,0.1303,0.5077,,1
129,228.8,-0.929,0.799,-28.24,15.39,-0.5325,0.1739,0.1365,,0
130,543.7,-0.964,0.22,19.97,4.23,0.222,0.0478,0.7564,,1
