idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
75,44.9,-1.222,1.407,-22.75,12.86,-0.6576,0.1843,0.4321,,1
76,643.9,1.608,1.563,-175.11,14.28,-1.5542,0.2047,0.2508,,0
77,182.8,0.834,1.096,-10.89,10.01,0.2888,0.1435,0.2833,,0
78,143.6,-1.687,1.023,72.28,9.34,0.4719,0.134,0.3868,,1
79,631.0,1.955,1.491,-169.78,13.62,-1.3575,0.1953,0.1623,,0
80,61.0,-2.155,2.266,85.39,20.71,0.0533,0.2969,0.0417,,0
81,623.9,0.81,2.783,-96.56,25.43,-0.9554,0.3646,0.0512,,0
82,342.8,-1.425,2.742,-76.9,25.06,-1.517,0.3592,0.1838,,0
83,608.9,3.253,3.313,-91.02,30.27,-0.8633,0.4339,0.3057,,0
84,187.0,0.693,1.113,-12.41,10.17,0.3522,0.1458,0.2779,,0
85,654.9,-4.933,2.245,56.64,20.52,-0.4242,0.2941,0.2344,,0
86,59.1,0.446,1.583,-94.94,14.47,-0.9533,0.2074,0.2252,,0
87,613.6,0.189,3.471,-64.97,31.72,-1.137,0.4547,0.2181,,0
88,197.6,0.318,1.237,-9.79,11.3,0.2869,0.162,0.1748,,0
89,134.1,-1.873,1.062,68.68,9.7,0.6656,0.1391,0.3642,,1
90,216.6,1.272,2.492,58.74,22.77,-0.2468,0.3264,0.0929,,0
91,392.8,4.41,1.41,-153.64,12.89,-0.9696,0.1848,0.2814,,0
92,665.2,-4.422,2.025,64.53,18.5,-0.3049,0.2652,0.2234,,0
93,132.2,-2.523,1.398,77.2,12.77,0.107,0.1831,0.1499,,0
94,80.9,-2.629,1.475,56.82,13.48,-0.0357,0.1932,0.2941,,0
95,28.8,-1.859,1.317,-27.89,12.03,-1.0431,0.1725,0.1609,,0
96,32.6,-1.189,1.329,-37.7,12.14,-0.7513,0.174,0.1903,,0
97,257.0,0.53,1.067,-10.78,9.75,0.3237,0.1398,0.3689,,1
98,660.1,-5.537,2.193,62.46,20.04,-0.4287,0.2873,0.2246,,0
99,242.3,3.935,1.981,-131.24,18.1,-1.0497,0.2595,0.3822,,1
100,187.8,1.075,1.159,-13.92,10.59,0.3712,0.1518,0.2373,,0
101,206.2,2.53,1.946,36.41,17.78,0.0238,0.2549,0.226,,0
102,86.6,-2.64,1.566,69.89,14.31,0.2241,0.2052,0.2093,,0
103,111.4,-2.372,1.544,64.24,14.11,-0.3796,0.2022,0.1549,,0
104,405.7,3.965,1.611,-157.65,14.72,-1.3455,0.211,0.1535,,0
105,91.4,-1.458,0.975,64.79,8.91,0.0307,0.1277,0.3767,,1
106,137.9,-2.718,0.892,67.42,8.15,0.2049,0.1168,0.4346,,1
107,618.7,3.045,2.789,-112.24,25.49,-1.0733,0.3654,0.0592,,0
108,93.3,-1.378,1.026,60.9,9.38,0.3309,0.1345,0.3931,,1
109,436.9,3.695,1.367,-149.87,12.49,-1.2028,0.1791,0.4211,,1
110,87.6,-4.0,1.064,57.82,9.72,0.1314,0.1393,0.3025,,0
111,197.8,-0.364,1.224,-12.92,11.18,0.2732,0.1603,0.1706,,0
112,198.3,-1.069,1.172,-11.47,10.71,0.3221,0.1535,0.2534,,0
113,192.0,0.856,2.657,35.16,24.28,0.1688,0.348,0.1762,,0
114,193.3,0.11,1.155,-5.03,10.56,0.3998,0.1513,0.2101,,0
115,71.5,-1.921,1.303,71.41,11.9,-0.1007,0.1706,0.1862,,0
116,581.2,-0.247,2.418,-11.29,22.1,-1.2433,0.3168,0.0169,,0
117,319.0,-0.774,1.9,100.91,17.36,0.2012,0.2489,0.1471,,0
118,639.4,1.425,3.012,-110.5,27.52,-0.9227,0.3945,0.1743,,0
119,114.2,-1.034,1.125,63.7,10.28,0.5792,0.1473,0.3182,,0
120,630.6,1.282,1.726,-178.24,15.77,-1.3534,0.2261,0.2517,,0
121,334.2,-1.479,2.517,-71.7,23.0,-1.5685,0.3297,0.1951,,0
122,208.0,0.547,1.113,-17.2,10.17,0.1886,0.1458,0.3058,,0
123,18.9,-1.807,1.389,-43.01,12.69,-1.217,0.1819,0.262,,0
124,103.7,-2.228,0.848,61.61,7.75,0.4706,0.1111,0.4865,,1
125,207.1,1.055,2.224,48.81,20.32,-0.1293,0.2913,0.0616,,0
126,253.1,4.695,1.866,-132.41,17.05,-1.1403,0.2444,0.3076,,0
127,276.9,0.971,1.028,-8.35,9.39,0.4343,0.1347,0.3185,,0
128,298.2,0.504,1.703,86.42,15.56,0.3112,0.223,0.2251,,0
129,263.9,4.064,1.999,-129.63,18.27,-1.0688,0.2619,0.3338,,0
130,138.8,-1.232,0.986,72.92,9.01,0.5464,0.1291,0.4258,,1
131,189.1,0.481,1.419,21.14,12.96,0.3811,0.1858,0.1643,,0
132,606.7,2.004,1.827,-109.58,16.7,-0.7685,0.2394,0.2948,,0
133,167.9,1.412,1.727,5.33,15.78,0.2188,0.2262,0.0238,,0
134,649.7,-4.473,2.043,59.04,18.67,-0.2957,0.2676,0.1502,,0
135,416.7,3.691,1.261,-150.56,11.52,-1.2497,0.1652,0.2752,,0
136,660.0,-4.334,2.304,65.88,21.06,-0.2913,0.3019,0.2564,,0
137,190.3,0.448,1.132,8.52,10.34,0.2333,0.1483,0.248,,0
138,178.5,0.316,1.121,-3.75,10.25,0.3007,0.1469,0.2614,,0
139,565.1,-2.548,2.434,-18.9,22.24,-0.9733,0.3188,0.0858,,0
140,351.5,-2.126,2.365,-57.18,21.61,-1.2108,0.3098,0.2399,,0
141,63.2,1.186,2.336,10.49,21.34,-0.1224,0.306,0.1567,,0
142,314.3,-1.656,2.125,103.67,19.42,0.3979,0.2784,0.0141,,0
143,68.7,-1.132,1.842,-100.8,16.83,-1.1065,0.2413,0.1188,,0
144,612.6,6.169,2.508,-104.2,22.92,-1.7511,0.3285,0.0968,,0
145,654.7,-3.737,2.64,62.49,24.12,-0.5296,0.3458,0.1577,,0
146,121.7,-4.019,1.028,60.69,9.4,0.1374,0.1347,0.3638,,1
147,678.7,2.281,1.28,-174.91,11.69,-1.2848,0.1676,0.2243,,0
148,92.3,-1.814,1.725,55.56,15.76,-0.1606,0.2259,0.1251,,0
149,589.8,6.333,3.298,-96.98,30.13,-0.998,0.432,0.0777,,0
150,68.1,2.524,1.61,-93.58,14.71,-1.3561,0.2109,0.0674,,0
151,119.2,-1.093,1.983,1.56,18.12,0.2288,0.2597,0.3232,,0
152,48.0,1.786,2.068,20.98,18.9,-0.0723,0.2709,0.3195,,0
153,684.8,3.609,1.356,-176.02,12.39,-1.4775,0.1777,0.2854,,0
154,3.4,-3.381,2.253,-29.81,20.59,-1.1632,0.2951,0.1455,,0
155,308.6,0.59,1.698,94.58,15.52,0.339,0.2225,0.2323,,0
156,77.6,2.909,1.811,-87.84,16.55,-1.3258,0.2372,0.1813,,0
157,640.8,0.395,1.759,-161.31,16.07,-1.3515,0.2304,0.0889,,0
158,657.8,6.077,1.823,-159.24,16.65,-1.0787,0.2388,0.4763,,1
159,61.8,0.744,1.818,-86.85,16.61,-0.8713,0.2381,0.14,,0
160,81.9,-1.939,1.37,66.12,12.52,0.2346,0.1794,0.3904,,1
161,600.6,6.726,3.183,-89.23,29.08,-1.1478,0.4169,0.1493,,0
162,31.9,-0.857,1.923,39.46,17.57,-0.3895,0.2519,0.0581,,0
163,27.2,-0.857,1.917,39.49,17.52,-0.3893,0.2511,0.0589,,0
164,259.3,-0.765,1.683,-17.41,15.38,-0.0795,0.2204,0.2144,,0
165,8.9,-4.138,2.01,-38.22,18.37,-0.4401,0.2633,0.1896,,0
166,634.2,1.074,3.057,-112.45,27.93,-1.0221,0.4004,0.1089,,0
